robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1564.81,88.75,2,229.96,131.96,616.09,0,31;16;42;15;45;c2;34;25;37;12;c2;18;43;28;40
tb2,threshold,1361.46,86.18,1,239.78,85.73,468.65,0,2;50;44;11;8;14;6;48;c2;39;36;41;20;47;1
tb3,threshold,1683.14,90.65,2,247.71,231.45,588.15,0,3;35;10;32;27;c1;46;13;19;9;c1;24;30;4;17
tb4,threshold,1488.65,86.84,1,202.58,144.54,491.78,0,21;5;33;23;26;7;c1;29;22;38;49
tb1,feasibility,763.14,84.33,0,176.34,0.00,0.00,14,31;16;42;15;45;34;25;37;12;18;43;28;40
tb2,feasibility,1365.30,86.92,1,236.77,0.00,561.21,0,2;50;44;11;8;14;6;48;39;c2;36;41;20;47;1
tb3,feasibility,1517.61,88.39,2,220.26,0.00,681.51,0,3;35;10;32;27;c1;46;13;19;9;24;c1;30;4;17
tb4,feasibility,1935.44,87.25,1,175.35,525.39,584.95,0,21;5;33;23;26;7;29;c2;22;38;49
tb1,optimized,1650.30,90.66,3,323.39,92.91,676.20,0,12;5;18;45;c2;29;8;25;c1;24;9;c1;49;13;23
tb2,optimized,1716.93,100.97,3,338.41,173.39,568.14,0,10;40;c2;38;44;47;c2;11;19;30;c1;42;39;46;34
tb3,optimized,1692.96,100.07,3,359.22,48.67,654.07,0,22;7;48;16;c1;3;31;c2;33;41;c2;28;4;27;35;14
tb4,optimized,1647.49,102.54,3,431.10,93.40,529.07,0,36;43;c1;15;2;20;21;c1;37;1;c2;17;32;6;50;26
